"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"1";"Canal Villanueva y Río Luján";"TI001";"8/4/2024";"2024";"verano";"23";"24";"3.58";"6.81";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"640";"380";"180";"<1.00";"0.09";"0.2";"s/i";"s/i";"s/i";"267";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"54";"Muy deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"8/4/2024";"2024";"verano";"23";"24";"4.67";"6.84";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2200";"2000";"100";"1.8";"0.24";"0.23";"s/i";"s/i";"s/i";"126";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"47";"Muy deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"8/4/2024";"2024";"verano";"23";"24";"6.02";"6.89";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4600";"4100";"500";"1.9";"0.65";"0.31";"s/i";"4";"s/i";"154";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"42";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"8/4/2024";"2024";"verano";"22";"24";"4.05";"6.86";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1700";"900";"170";"1.5";"0.37";"0.29";"s/i";"2";"s/i";"112";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"51";"Muy deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"8/4/2024";"2024";"verano";"22";"23";"2.97";"6.81";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"15000";"13000";"1000";"1.8";"0.95";"0.29";"s/i";"5";"s/i";"147";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"35";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"8/4/2024";"2024";"verano";"22";"23";"2.13";"6.81";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"11000";"7400";"200";"1.8";"1.36";"0.54";"s/i";"s/i";"s/i";"123";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"35";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"8/4/2024";"2024";"verano";"22";"23";"1.96";"7.59";"Ausencia";"Ausencia";"Ausencia";"Presencia";"6900";"5800";"1800";"1.6";"1.2";"0.44";"s/i";"8";"s/i";"96.6";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"37";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"8/4/2024";"2024";"verano";"23";"25";"6.43";"7.02";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"340";"220";"90";"1.9";"<0.01";"0.17";"s/i";"s/i";"s/i";"202";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"63";"Muy deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"8/4/2024";"2024";"verano";"23";"25";"5.8";"6.92";"Ausencia";"Ausencia";"Ausencia";"Presencia";"440";"300";"100";"1.3";"0.12";"0.13";"s/i";"<2";"s/i";"140";"<0.10";"s/i";"s/i";"<10.00";"<0.15";"61";"Muy deteriorada"
"10";"Del Arca";"SF015";"8/4/2024";"2024";"verano";"24";"19";"4.85";"s/i";"Ausencia";"Ausencia";"Ausencia";"Presencia";"9000";"6000";"800";"2.5";"0.37";"0.23";"s/i";"5";"s/i";"139";"<0.10";"s/i";"s/i";"<10.00";"0.58";"36";"Extremadamente deteriorada"
